,created_on,property_type,place_name,place_with_parent_names,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,rooms,properati_url,barrio,PH,apartment,house,price_m2
10632,2017-12-06,PH,Barracas,|Argentina|Capital Federal|Barracas|,-34.6440753856,-58.3687404819,200000.0,135.0,120.0,3.0,https://www.properati.com.ar/1ir7i_venta_ph_barracas_regimiento-de-patricios-av-_1529_patio_apto-credito-hipotecario_mks-propiedades_6m3,BARRACAS,1.0,0.0,0.0,1481.4814814814815
10633,2017-12-09,PH,San Telmo,|Argentina|Capital Federal|San Telmo|,-34.628135,-58.37298000000001,320000.0,138.0,122.0,5.0,https://www.properati.com.ar/1ivdk_venta_ph_san-telmo_patio_re-max-capital,BARRACAS,1.0,0.0,0.0,2318.840579710145
10634,2017-12-12,house,Barracas,|Argentina|Capital Federal|Barracas|,-34.647945,-58.38326,249900.0,192.0,120.0,5.0,https://www.properati.com.ar/1ixay_venta_casa_barracas_baulera_lavadero_parrilla_patio_piscina_quincho_toilette_vestidor_aire-acondicionado_re-max-premium,BARRACAS,0.0,0.0,1.0,1301.5625
10635,2017-12-13,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.642132000000004,-58.3736725,125000.0,69.0,69.0,4.0,https://www.properati.com.ar/1ixtb_venta_departamento_barracas_lavadero_vestidor_vista_placard_debrax,BARRACAS,0.0,1.0,0.0,1811.5942028985507
10636,2017-12-14,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.63884470000001,-58.375938100000006,130000.0,58.0,58.0,3.0,https://www.properati.com.ar/1iyx4_venta_departamento_barracas_balcon_luminoso_gimenez-inmuebles_drd,BARRACAS,0.0,1.0,0.0,2241.3793103448274
10637,2017-12-14,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.6308678,-58.3720399,170000.0,62.0,59.0,3.0,https://www.properati.com.ar/1iyxc_venta_departamento_barracas_balcon_arkis-inmobiliaria_eoh,BARRACAS,0.0,1.0,0.0,2741.935483870968
10638,2017-12-15,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.631329,-58.373912,198000.0,102.0,102.0,5.0,https://www.properati.com.ar/1j1em_venta_departamento_barracas_balcon_dependencias_citati-propiedades_91q,BARRACAS,0.0,1.0,0.0,1941.1764705882354
10639,2017-12-16,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.641952,-58.37288,115000.0,52.0,52.0,3.0,https://www.properati.com.ar/1j1tn_venta_departamento_barracas_lavadero_luminoso_de-nichilo-propiedades,BARRACAS,0.0,1.0,0.0,2211.5384615384614
10640,2017-12-17,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.6423104785,-58.3733403492,125000.0,69.0,69.0,4.0,https://www.properati.com.ar/1j27r_venta_departamento_barracas_lavadero_vestidor_vista_placard_apto-credito-hipotecario_debrax,BARRACAS,0.0,1.0,0.0,1811.5942028985507
10641,2017-12-19,house,Barracas,|Argentina|Capital Federal|Barracas|,-34.652083000000005,-58.370631,195000.0,405.0,405.0,5.0,https://www.properati.com.ar/1j4oe_venta_casa_barracas_citati-propiedades_91q,BARRACAS,0.0,0.0,1.0,481.48148148148147
10643,2017-12-21,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.6296888309,-58.3707430216,145000.0,59.0,47.0,3.0,https://www.properati.com.ar/1j6ad_venta_departamento_barracas_balcon_lavadero_vestidor_luminoso_guimat-propiedades_e7u,BARRACAS,0.0,1.0,0.0,2457.6271186440677
10644,2017-12-21,house,Barracas,|Argentina|Capital Federal|Barracas|,-34.65048400000001,-58.386169,315000.0,540.0,540.0,5.0,https://www.properati.com.ar/1j6j1_venta_casa_barracas_balcon_lavadero_parrilla_patio_quincho_terraza_garage_citati-propiedades_91q,BARRACAS,0.0,0.0,1.0,583.3333333333334
10645,2017-12-30,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.642132000000004,-58.3736725,95000.0,49.0,49.0,3.0,https://www.properati.com.ar/1jaaq_venta_departamento_barracas_balcon_lavadero_luminoso_di-mitrio-inmobiliaria_d2r,BARRACAS,0.0,1.0,0.0,1938.7755102040817
10646,2017-12-31,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.646437,-58.372588,110000.0,50.0,45.0,2.0,https://www.properati.com.ar/1jala_venta_departamento_barracas_balcon_lavadero_luminoso_garage_placard_re-max-destino,BARRACAS,0.0,1.0,0.0,2200.0
10647,2018-01-08,house,Barracas,|Argentina|Capital Federal|Barracas|,-34.6406097099,-58.3866644808,140000.0,94.0,94.0,4.0,https://www.properati.com.ar/1jc6h_venta_casa_barracas_perdriel_600_patio_toilette_garage_doble-circulacion_re-max-zafiro,BARRACAS,0.0,0.0,1.0,1489.3617021276596
10648,2018-01-08,apartment,San Telmo,|Argentina|Capital Federal|San Telmo|,-34.626987,-58.372327,175000.0,57.0,51.0,2.0,https://www.properati.com.ar/1jcn5_venta_departamento_san-telmo_balcon_lavadero_parrilla_piscina_toilette_vestidor_lujoso_re-max-ra-iacute-ces,BARRACAS,0.0,1.0,0.0,3070.1754385964914
10649,2018-01-08,apartment,San Telmo,|Argentina|Capital Federal|San Telmo|,-34.626987,-58.372327,280000.0,84.0,59.0,2.0,https://www.properati.com.ar/1jcna_venta_departamento_san-telmo_suite_lavadero_parrilla_piscina_terraza_vestidor_luminoso_lujoso_garage_amenities_re-max-ra-iacute-ces,BARRACAS,0.0,1.0,0.0,3333.3333333333335
10650,2018-01-09,house,Barracas,|Argentina|Capital Federal|Barracas|,-34.64735413,-58.38232040000001,110000.0,128.0,93.82046724225495,2.0,https://www.properati.com.ar/1jfg6_venta_casa_barracas_salon_400_terraza_arismendi-propiedades,BARRACAS,0.0,0.0,1.0,859.375
10651,2018-01-09,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.64109421,-58.37739563,210000.0,123.0,100.0,4.0,https://www.properati.com.ar/1jgdf_venta_departamento_barracas_av-montes-de-oca_1700_lavadero_apto-credito-hipotecario_kops-negocios-inmobiliarios_df5,BARRACAS,0.0,1.0,0.0,1707.3170731707316
10652,2018-01-10,house,Barracas,|Argentina|Capital Federal|Barracas|,-34.646037,-58.37801999999999,200000.0,381.0,381.0,5.0,https://www.properati.com.ar/1jjro_venta_casa_barracas_terraza_citati-propiedades_91q,BARRACAS,0.0,0.0,1.0,524.9343832020998
10653,2018-01-17,PH,Barracas,|Argentina|Capital Federal|Barracas|,-34.641357,-58.371513,240000.0,200.0,200.0,5.0,https://www.properati.com.ar/1jjyq_venta_ph_barracas_terraza_dependencias_citati-propiedades_91q,BARRACAS,1.0,0.0,0.0,1200.0
